# Destination	Item IDs	Skills	Quests	Wilderness level	Varbits	isMembers	Duration	Display info
# Standard Spellbook - Varbit 4070=0								
# Varrock Teleport								
2756 3176 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=5	Y	4	Teleport to House: Outside
# 6 - Yanille								
2545 3097 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=6	Y	4	Teleport to House: Outside
# 7 - Prifddinas								
3239 6077 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=7	Y	4	Teleport to House: Outside
# 8 - Hosidius								
1740 3517 0	563 556 557;563 4696;563 556 4698;563 556 4699;563 557 4697;563 557 4695;563 557 1381;563 557 20730;563 557 11998;563 556 1385;563 556 6562;563 556 3053;563 20736	40 Magic		19	4070=0;2187=8	Y	4	Teleport to House: Outside
								
# Camelot Teleport								
2757 3478 0	556 563;563 4696;563 4697;563 4695;563 1381;563 20730;563 11998;563 20736	45 Magic		19	4070=0	Y	10	Camelot Teleport
								
# Kourend Castle Teleport								
1641 3673 0	563 555 554;563 554 4698;563 555 4699;563 555 4697;563 4694;563 554 4695;563 554 1383;563 554 20730;563 554 6562;563 554 21006;563 555 1387;563 555 3053;563 555 11998;563 11787;563 555 20714;563 554 25574;563 1383 20714;563 20730 20714;563 6562 20714;563 21006 20714;563 1387 25574;563 3053 25574;563 11998 25574	48 Magic	Client of Kourend	19	4070=0	Y	4	Kourend Castle Teleport
								
# Ardougne Teleport								
2661 3302 0	555 563;563 4698;563 4694;563 4695;563 1383;563 20730;563 6562;563 11787;563 21006;563 25574	51 Magic	Plague City	19	4070=0	Y	10	Ardougne Teleport
								
# Civitas illa Fortis Teleport								
1680 3134 0	554 557 563;554 563 4696;554 563 4698;563 4699;557 563 4697;557 563 4694;554 563 1385;554 563 20736;554 563 6562;557 563 1387;557 563 11787;557 563 11998;563 3053;557 563 20714;563 1385 20714;563 20736 20714;563 6562 20714	54 Magic	Twilight's Promise	19	4070=0	Y	4	Civitas illa Fortis Teleport
								
# Watchtower Teleport								
2549 3112 2	557 563;563 4696;563 4698;563 4699;563 1385;563 20736;563 6562;563 3053	58 Magic	Watchtower Quest	19	4070=0	Y	10	Watchtower Teleport
# Varbit 4460 is DIARY_ARDOUGNE_HARD								
2584 3097 0	557 563;563 4696;563 4698;563 4699;563 1385;563 20736;563 6562;563 3053	58 Magic	Watchtower Quest	19	4070=0;4460=1	Y	10	WatchtowerTeleport: Yanille
								
# Trollheim Teleport								
2890 3679 0	554 563;563 4699;563 4697;563 4694;563 1387;563 11787;563 3053;563 11998;563 20714	61 Magic	Eadgar's Ruse	19	4070=0	Y	10	Trollheim Teleport
								
# Ape Atoll Teleport								
2797 2798 1	555 554 563 1963;554 563 1963 4698;555 563 1963 4699;555 563 1963 4697;563 1963 4694;554 563 1963 4695;554 563 1963 1383;554 563 1963 20730;554 563 1963 6562;554 563 1963 21006;555 563 1963 1387;555 563 1963 3053;555 563 1963 11998;563 1963 11787;555 563 1963 20714;554 563 1963 25574;563 1963 1383 20714;563 1963 20730 20714;563 1963 6562 20714;563 1963 21006 20714;563 1963 1387 25574;563 1963 3053 25574;563 1963 11998 25574	64 Magic	Freeing King Awowogei	19	4070=0	Y	10	Ape Atoll Teleport
								
# Ancient Spellbook - Varbit 4070=1								
# Paddewwa Teleport								
3100 9883 0	563 554 556;563 554 4696;563 556 4699;563 4697;563 556 4694;563 554 4695;563 554 1381;563 554 20730;563 554 20736;563 556 1387;563 556 11787;563 556 3053;563 11998;563 556 20714;563 1381 20714;563 20730 20714;563 20736 20714	54 Magic	Desert Treasure I	19	4070=1	Y	10	Paddewwa Teleport
								
# Senntisten Teleport								
3320 3337 0	563 566	60 Magic	Desert Treasure I	19	4070=1	Y	10	Senntisten Teleport
								
# Kharyrll Teleport								
3494 3473 0	563 565	66 Magic	Desert Treasure I	19	4070=1	Y	10	Kharyrll Teleport
								
# Lassar Teleport								
3002 3470 0	563 555;563 4698;563 4694;563 4695;563 1383;563 20730;563 6562;563 11787;563 21006;563 25574	72 Magic	Desert Treasure I	19	4070=1	Y	10	Lassar Teleport
								
# Dareeyak Teleport								
2968 3696 0	563 554 556;563 554 4696;563 556 4699;563 4697;563 556 4694;563 554 4695;563 554 1381;563 554 20730;563 554 20736;563 556 1387;563 556 11787;563 556 3053;563 11998;563 556 20714;563 1381 20714;563 20730 20714;563 20736 20714	78 Magic	Desert Treasure I	19	4070=1	Y	10	Dareeyak Teleport
								
# Carrallanger Teleport								
3158 3666 0	563 566	84 Magic	Desert Treasure I	19	4070=1	Y	10	Carrallanger Teleport
								
# Teleport to Target								
#		85 Magic	Desert Treasure I	19	4070=1	Y	10	Teleport to Target
								
# Annakarl Teleport								
3287 3888 0	563 565	90 Magic	Desert Treasure I	19	4070=1	Y	10	Annakarl Teleport
								
# Ghorrock Teleport								
2974 3873 0	563 555;563 4698;563 4694;563 4695;563 1383;563 20730;563 6562;563 11787;563 21006;563 25574	96 Magic	Desert Treasure I	19	4070=1	Y	10	Ghorrock Teleport
								
# Lunar Spellbook - Varbit 4070=2								
# Moonclan Teleport								
2113 3915 0	557 563 9075;563 9075 4696;563 9075 4698;563 9075 4699;563 9075 1385;563 9075 20736;563 9075 6562;563 9075 3053	69 Magic	Lunar Diplomacy	19	4070=2	Y	10	Moonclan Teleport
								
# Ourania Teleport								
2468 3246 0	557 563 9075;563 9075 4696;563 9075 4698;563 9075 4699;563 9075 1385;563 9075 20736;563 9075 6562;563 9075 3053	71 Magic	Lunar Diplomacy	19	4070=2	Y	10	Ourania Teleport
								
# Waterbirth Teleport								
2546 3756 0	555 563 9075;563 9075 4698;563 9075 4694;563 9075 4695;563 9075 1383;563 9075 20730;563 9075 6562;563 9075 11787;563 9075 21006;563 9075 25574	72 Magic	Lunar Diplomacy	19	4070=2	Y	10	Waterbirth Teleport
								
# Barbarian Teleport								
2543 3569 0	554 563 9075;563 9075 4699;563 9075 4697;563 9075 4694;563 9075 1387;563 9075 11787;563 9075 3053;563 9075 11998;563 9075 20714	75 Magic	Lunar Diplomacy	19	4070=2	Y	10	Barbarian Teleport
								
# Khazard Teleport								
2636 3167 0	555 563 9075;563 9075 4698;563 9075 4694;563 9075 4695;563 9075 1383;563 9075 20730;563 9075 6562;563 9075 11787;563 9075 21006;563 9075 25574	78 Magic	Lunar Diplomacy	19	4070=2	Y	10	Khazard Teleport
								
# Fishing Guild Teleport								
2613 3391 0	555 563 9075;563 9075 4698;563 9075 4694;563 9075 4695;563 9075 1383;563 9075 20730;563 9075 6562;563 9075 11787;563 9075 21006;563 9075 25574	85 Magic	Lunar Diplomacy	19	4070=2	Y	10	Fishing Guild Teleport
								
# Catherby Teleport								
2801 3449 0	555 563 9075;563 9075 4698;563 9075 4694;563 9075 4695;563 9075 1383;563 9075 20730;563 9075 6562;563 9075 11787;563 9075 21006;563 9075 25574	87 Magic	Lunar Diplomacy	19	4070=2	Y	10	Catherby Teleport
								
# Ice Plateau Teleport								
2975 3938 0	555 563 9075;563 9075 4698;563 9075 4694;563 9075 4695;563 9075 1383;563 9075 20730;563 9075 6562;563 9075 11787;563 9075 21006;563 9075 25574	89 Magic	Lunar Diplomacy	19	4070=2	Y	10	Ice Plateau Teleport
								
# Arceuus Spellbook - Varbit 4070=3								
# Arceuus Library Teleport								
1632 3834 0	563 557;563 4696;563 4698;563 4699;563 1385;563 20736;563 6562;563 3053	6 Magic		19	4070=3	Y	10	Arceuus Library Teleport
								
# Draynor Manor Teleport								
3108 3351 0	563 557 555;563 555 4696;563 4698;563 555 4699;563 557 4694;563 557 4695;563 557 1383;563 557 20730;563 557 11787;563 557 21006;563 555 1385;563 555 20736;563 555 3053;563 6562;563 557 25574;563 1385 25574;563 20736 25574;563 3053 25574	17 Magic		19	4070=3	Y	4	Draynor Manor Teleport
								
# Battlefront Teleport								
1347 3741 0	563 557 554;563 554 4696;563 554 4698;563 4699;563 557 4697;563 557 4694;563 554 1385;563 554 20736;563 554 6562;563 557 1387;563 557 11787;563 557 11998;563 3053;563 557 20714;563 1385 20714;563 20736 20714;563 6562 20714	23 Magic		19	4070=3	Y	4	Battlefront Teleport
								
# Mind Altar Teleport								
2976 3509 0	563 558	28 Magic		19	4070=3	Y	10	Mind Altar Teleport
								
# Respawn Teleport								
# TODO: Figure out values of Varbit 668								
#	563 566	34 Magic		19	4070=3	Y	10	Respawn Teleport
								
# Salve Graveyard Teleport								
3432 3459 0	563 566	40 Magic	Priest in Peril	19	4070=3	Y	10	Salve Graveyard Teleport
								
# Fenkenstrain's Castle Teleport								
3548 3529 0	563 566 557;563 566 4696;563 566 4698;563 566 4699;563 566 1385;563 566 20736;563 566 6562;563 566 3053	48 Magic	Priest in Peril	19	4070=3	Y	10	Fenkenstrain's Castle Teleport
								
# West Ardougne Teleport								
2500 3290 0	563 566	61 Magic	Biohazard	19	4070=3	Y	10	West Ardougne Teleport
								
# Harmony Island Teleport								
3796 2866 0	563 566 561	65 Magic	The Great Brain Robbery	19	4070=3	Y	10	Harmony Island Teleport
								
# Cemetery Teleport								
2980 3762 0	563 566 565	71 Magic		20	4070=3	Y	10	Cemetery Teleport
								
# Barrows Teleport								
3563 3314 0	563 566 565	83 Magic		20	4070=3	Y	10	Barrows Teleport
								
# Ape Atoll Teleport								
2768 2702 0	563 566 565	90 Magic	Monkey Madness I	20	4070=3	Y	10	Ape Atoll Teleport
