# X Y Z	X Y Z	menuOption menuTarget objectID	Skill requirements	Item requirements	Quest	Travel time	Info
2866 3428 0	2869 3428 0	Grapple Rocks 17042	32 Agility;35 Ranged;35 Strength				
2602 3336 0	2598 3336 0	Walk-across Log balance 16548	33 Agility				
2598 3336 0	2602 3336 0	Walk-across Log balance 16546	33 Agility				
2599 3337 0	2602 3336 0	Walk-across Log balance 16546	33 Agility				
2841 3427 0	2841 3433 0	Grapple Crossbow Tree 17062	36 Agility;39 Ranged;22 Strength				
2486 3515 0	2489 3521 0	Climb Rocks 16534	37 Agility		The Grand Tree	9	
2489 3521 0	2486 3515 0	Climb Rocks 16535	37 Agility		The Grand Tree	9	
3306 3315 0	3302 3315 0	Climb Rocks 16549	38 Agility				
3302 3315 0	3306 3315 0	Climb Rocks 16550	38 Agility				
2556 3072 0	2556 3073 1	Grapple Wall 17047	39 Agility;21 Ranged;38 Strength				
2556 3075 0	2556 3074 1	Grapple Wall 17047	39 Agility;21 Ranged;38 Strength				
2872 3671 0	2869 3671 0	Climb Rocks 16521	41 Agility				
2869 3671 0	2872 3671 0	Climb Rocks 16521	41 Agility				
3070 3260 0	3064 3260 0	Climb-into Underwall tunnel 19036	100 Agility		Diary
3065 3260 0	3071 3260 0	Climb-into Underwall tunnel 19032	100 Agility		Diary
3069 3261 0	3064 3260 0	Climb-into Underwall tunnel 19036	100 Agility		Diary
3066 3261 0	3071 3260 0	Climb-into Underwall tunnel 19032	100 Agility		Diary
3069 3259 0	3064 3260 0	Climb-into Underwall tunnel 19036	100 Agility		Diary
3067 3260 0	3071 3260 0	Climb-into Underwall tunnel 19032	100 Agility		Diary
3070 3257 0	3066 3257 0	Climb-into Underwall tunnel 19036	42 Agility      7
3066 3257 0	3070 3257 0	Climb-into Underwall tunnel 19032	42 Agility      7
3035 9806 0	3028 9806 0	Squeeze-through Crevice 16543	42 Agility				
3028 9806 0	3035 9806 0	Squeeze-through Crevice 16543	42 Agility				
2878 3665 0	2878 3668 0	Climb Rocks 16522	43 Agility				
2878 3668 0	2878 3665 0	Climb Rocks 16522	43 Agility				
2877 3666 0	2878 3668 0	Climb Rocks 16522	43 Agility				
2879 3667 0	2878 3665 0	Climb Rocks 16522	43 Agility				
2886 3684 0	2884 3684 0	Climb Rocks 3804	43 Agility				
2884 3684 0	2886 3684 0	Climb Rocks 3804	43 Agility				
2886 3683 0	2884 3683 0	Climb Rocks 3803	43 Agility				
2884 3683 0	2886 3683 0	Climb Rocks 3803	43 Agility				
2907 3682 0	2909 3684 0	Climb Rocks 16523	44 Agility				
2909 3684 0	2907 3682 0	Climb Rocks 16523	44 Agility				
2900 3680 0	2903 3680 0	Climb Rocks 16524	47 Agility				
2903 3680 0	2900 3680 0	Climb Rocks 16524	47 Agility				
2901 3679 0	2903 3680 0	Climb Rocks 16524	47 Agility				
2902 3681 0	2900 3680 0	Climb Rocks 16524	47 Agility				
1776 3884 0	1776 3880 0	Jump Boulder 27990	49 Agility			4	
3422 3325 0	3417 3325 0	Cross Stepping stone 13504	50 Agility				
3417 3325 0	3422 3325 0	Cross Stepping stone 13504	50 Agility				
2790 9295 0	2789 9296 0	Jump-over Jagged wall 2926	50 Agility		Legends' Quest	3	
2789 9296 0	2790 9295 0	Jump-over Jagged wall 2926	50 Agility		Legends' Quest	3	
3149 9906 0	3155 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility				
3155 9906 0	3149 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility				
3150 9907 0	3155 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility				
3150 9905 0	3155 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility				
3154 9907 0	3149 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility				
3154 9905 0	3149 9906 0	Squeeze-through Obstacle pipe 16511	51 Agility				
1769 3849 0	1774 3849 0	Climb Rocks 27988	52 Agility				
1774 3849 0	1769 3849 0	Climb Rocks 27988	52 Agility				
2998 3916 0	2998 3931 0	Open Door 23555	52 Agility				
2874 3133 0	2874 3127 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength				
2874 3127 0	2874 3133 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength				
2874 3136 0	2874 3142 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength				
2874 3142 0	2874 3136 0	Grapple Strong Tree 17074	53 Agility;42 Ranged;21 Strength				
2573 3859 0	2575 3861 0	Cross Stepping stone 11768	55 Agility				
2575 3861 0	2573 3859 0	Cross Stepping stone 11768	55 Agility				
2688 3697 0	2691 3697 0	Jump Broken Fence 544	57 Agility				
2691 3697 0	2688 3697 0	Jump Broken Fence 544	57 Agility				
3670 9888 3	3671 9888 2	Jump-down Weathered wall 16526	58 Agility				
3671 9888 2	3670 9888 3	Jump-up Weathered wall 16525	58 Agility				
3708 2969 0	3714 2969 0	Jump-to Stepping stone 19042	60 Agility				
3714 2969 0	3708 2969 0	Jump-to Stepping stone 19042	60 Agility				
2927 3758 0	2927 3761 0	Climb Rocky handholds 26400	60 Agility				
2927 3761 0	2928 3757 0	Climb Rocky handholds 26401	60 Agility				
2928 3757 0	2927 3761 0	Climb Rocky handholds 26400	60 Agility				
2929 3758 0	2927 3761 0	Climb Rocky handholds 26400	60 Agility				
2735 10008 0	2730 10008 0	Squeeze-through Crevice 16539	61 Agility				
2730 10008 0	2735 10008 0	Squeeze-through Crevice 16539	61 Agility				
3289 2700 0	3295 2700 0	Cross Stepping stone 43989	62 Agility				
3295 2700 0	3289 2700 0	Cross Stepping stone 43989	62 Agility				
3295 2704 0	3295 2708 0	Cross Stepping stone 43990	62 Agility				
3295 2708 0	3295 2704 0	Cross Stepping stone 43990	62 Agility				
2936 9810 0	2935 9810 0	Squeeze-through Loose Railing 28849	63 Agility				
2935 9810 0	2936 9810 0	Squeeze-through Loose Railing 28849	63 Agility				
2915 3672 0	2918 3672 0	Climb Rocks 16545	64 Agility				
2918 3672 0	2915 3672 0	Climb Rocks 16545	64 Agility				
2921 3672 0	2924 3673 0	Climb Rocks 16545	64 Agility				
2924 3673 0	2921 3672 0	Climb Rocks 16545	64 Agility				
2946 3678 0	2949 3681 0	Climb Rocks 16545	64 Agility				
3423 3476 0	3424 3476 0	Squeeze-through Ornate railing 16552	65 Agility				
3424 3476 0	3427 3477 0	Climb Rocks 16998	65 Agility				
3427 3477 0	3424 3476 0	Climb Rocks 16999	65 Agility				
3424 3476 0	3423 3476 0	Squeeze-through Ornate railing 16552	65 Agility				
3426 3478 0	3424 3476 0	Climb Rocks 16999	65 Agility				
3425 3483 0	3425 3484 0	Squeeze-through Ornate railing 17000	65 Agility				
3425 3484 0	3425 3483 0	Squeeze-through Ornate railing 17000	65 Agility				
2997 3483 0	3002 3483 0	Climb Rocks 47571	68 Agility			5	
3002 3483 0	2997 3483 0	Climb Rocks 47570	68 Agility			5	
1761 3874 0	1761 3872 0	Climb Rocks 34741	69 Agility			2	
1761 3872 0	1761 3874 0	Climb Rocks 34741	69 Agility			2	
3295 3157 0	3295 3159 0	Climb Broken wall 33344	70 Agility		Hard desert diary		
3295 3159 0	3295 3157 0	Enter Big window 33348	70 Agility		Hard desert diary		
2886 9799 0	2892 9799 0	Squeeze-through Obstacle pipe 16509	70 Agility				
2892 9799 0	2886 9799 0	Squeeze-through Obstacle pipe 16509	70 Agility				
2886 9823 0	2888 9823 1	Jump-up Rocks 154	70 Agility				
2888 9823 1	2886 9823 0	Jump-down Rocks 14106	70 Agility				
3447 3575 1	3447 3575 2	Climb-up Spikey chain 16537	71 Agility				
3447 3575 2	3447 3575 1	Climb-down Spikey chain 16538	71 Agility				
3446 3576 1	3446 3576 2	Climb-up Spikey chain 16537	71 Agility				
3446 3576 2	3446 3576 1	Climb-down Spikey chain 16538	71 Agility				
3447 3577 1	3447 3577 2	Climb-up Spikey chain 16537	71 Agility				
3447 3577 2	3447 3577 1	Climb-down Spikey chain 16538	71 Agility				
3448 3576 1	3448 3576 2	Climb-up Spikey chain 16537	71 Agility				
3448 3576 2	3448 3576 1	Climb-down Spikey chain 16538	71 Agility				
2429 9807 0	2435 9807 0	Enter Tunnel 30174	72 Agility				
2429 9806 0	2435 9806 0	Enter Tunnel 30174	72 Agility				
1742 3854 0	1752 3854 0	Climb Rocks 27984	73 Agility			4	
1752 3854 0	1742 3854 0	Climb Rocks 27985	73 Agility			4	
2838 3693 0	2844 3693 0	Climb Rocks 16464	73 Agility				
2844 3693 0	2838 3693 0	Climb Rocks 16464	73 Agility				
2843 3692 0	2838 3693 0	Climb Rocks 16464	73 Agility				
2880 9813 0	2877 9813 0	Jump-over Strange floor 16510	80 Agility				
2878 9813 0	2881 9813 0	Jump-over Strange floor 16510	80 Agility				
2775 10003 0	2773 10003 0	Jump-over Strange floor 16544	81 Agility				
2773 10003 0	2775 10003 0	Jump-over Strange floor 16544	81 Agility				
2768 10002 0	2770 10002 0	Jump-over Strange floor 16544	81 Agility				
2770 10002 0	2768 10002 0	Jump-over Strange floor 16544	81 Agility				
3500 9510 2	3506 9505 2	Squeeze-through Crevice 16465	86 Agility				
3506 9505 2	3500 9510 2	Squeeze-through Crevice 16465	86 Agility
3308 3491 0	3308 3493 0	Climb-over Broken fence 2618
3308 3493 0	3308 3491 0	Climb-over Broken fence 2618	
3221 9556 0	3221 9552 0	Jump-across Stepping stone 5949	23 Agility
3221 9552 0	3221 9556 0	Jump-across Stepping stone 5949	23 Agility				
3241 9524 2	3239 9524 2	Climb Rocks 6673	23 Agility				
3239 9524 2	3241 9524 2	Climb Rocks 6673	23 Agility				
3241 9525 2	3239 9525 2	Climb Rocks 6673	23 Agility				
3239 9525 2	3241 9525 2	Climb Rocks 6673	23 Agility				
