# Origin	Destination	menuOption menuTarget objectID	Skills	Quests	Duration	Display info	Varbits
# Tree Gnome Village							
2485 2851 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
2485 2850 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree			
# Prifddinas							
3274 6123 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves			
3275 6123 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves			
3276 6124 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves			
3276 6125 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves			
3275 6126 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves			
3273 6125 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves			
3273 6124 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves			
# Port Sarim							
3058 3257 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3058 3258 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3058 3259 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3059 3260 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3060 3260 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3061 3260 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3062 3259 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3062 3258 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3062 3257 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3061 3256 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3060 3256 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
3059 3256 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
# Etceteria							
2611 3857 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2611 3858 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2611 3859 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2612 3860 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2613 3860 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2614 3860 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2615 3859 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2615 3858 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2615 3857 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2614 3856 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2613 3856 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2612 3856 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
# Brimhaven							
2800 3202 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2800 3203 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2800 3204 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2801 3205 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2802 3205 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2803 3205 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2804 3204 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2804 3203 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2804 3202 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2803 3201 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2802 3201 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
2801 3201 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
# Hosidius							
1691 3541 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1691 3542 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1691 3543 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1692 3544 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1693 3544 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1694 3544 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1695 3543 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1695 3542 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1695 3541 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1694 3540 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1693 3540 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1692 3540 0		Travel;Spirit Tree;8355	83 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
# Farming Guild							
1251 3749 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1251 3750 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1251 3751 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1252 3752 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1253 3752 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1254 3752 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1255 3751 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1255 3750 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1255 3749 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1254 3748 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1253 3748 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
1252 3748 0		Travel;Spirit Tree;8355	85 Farming	Tree Gnome Village;The Grand Tree			4771=20;4772=20
# Player-owned house							
#		Travel;Spirit Tree;29227	75 Construction;83 Farming				
# Poison Waste							
2337 3110 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2337 3111 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2337 3112 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2338 3113 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2339 3113 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2340 3113 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2341 3112 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2341 3111 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2341 3110 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2338 3109 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2339 3109 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
2340 3109 0		Travel;Spirit Tree;49595		The Path of Glouphrie			
# Tree Gnome Village							
	2542 3170 0			Tree Gnome Village	2	1: Tree Gnome Village	
# Gnome Stronghold							
	2461 3444 0			The Grand Tree	2	2: Gnome Stronghold	
# Battlefield of Khazard							
	2555 3259 0			Tree Gnome Village;The Grand Tree	2	3: Battlefield of Khazard	
# Grand Exchange							
	3185 3508 0			Tree Gnome Village;The Grand Tree	2	4: Grand Exchange	
# Feldip Hills							
	2488 2850 0			Tree Gnome Village;The Grand Tree	2	5: Feldip Hills	
# Prifddinas							
	3274 6123 0			Tree Gnome Village;The Grand Tree;Song of the Elves	2	6: Prifddinas	
# Port Sarim							
	3058 3257 0		83 Farming	Tree Gnome Village;The Grand Tree	2	7: Port Sarim	4771=20;4772=20
# Etceteria							
	2613 3855 0		83 Farming	Tree Gnome Village;The Grand Tree	2	8: Etceteria	4771=20;4772=20
# Brimhaven							
	2800 3203 0		83 Farming	Tree Gnome Village;The Grand Tree	2	9: Brimhaven	4771=20;4772=20
# Hosidius							
	1693 3540 0		83 Farming	Tree Gnome Village;The Grand Tree	2	A: Hosidius	4771=20;4772=20
# Farming Guild							
	1251 3750 0		85 Farming	Tree Gnome Village;The Grand Tree	2	B: Farming Guild	4771=20;4772=20
# Player-owned house							
#			75 Construction;83 Farming	Tree Gnome Village;The Grand Tree	2	C: Your house	
# Poison Waste							
	2339 3109 0			Tree Gnome Village;The Grand Tree;The Path of Glouphrie	2	D: Poison Waste	
