# X Y Z	X Y Z	menuOption menuTarget objectID	Skill requirements	Item requirements	Quest	Travel time	Info
# Tutorial Island							
3083 9672 0	3083 3272 0	Climb-up Ladder 17385				2	
3084 9671 0	3084 3271 0	Climb-up Ladder 17385				2	
3085 3272 0	3085 9672 0	Climb-down Trapdoor 6435				1	
3084 3273 0	3084 9673 0	Climb-down Trapdoor 6435				1	
3083 3272 0	3083 9672 0	Climb-down Trapdoor 6435				1	
3084 3271 0	3084 9671 0	Climb-down Trapdoor 6435				1	
3118 3243 0	3118 9644 0	Climb-down Trapdoor 6435				1	
3117 3244 0	3118 9644 0	Climb-down Trapdoor 6435				1	
3119 3244 0	3118 9644 0	Climb-down Trapdoor 6435				1	
3118 3245 0	3118 9644 0	Climb-down Trapdoor 6435				1	
3119 9643 0	3118 3243 0	Climb-up Ladder 6436				2	
3118 9644 0	3118 3243 0	Climb-up Ladder 6436				2	
3117 9643 0	3118 3243 0	Climb-up Ladder 6436				2	
							
# Draynor Manor							
3115 3356 0	3077 9771 0	Walk-Down Stairs 2616				1	
3077 9771 0	3115 3356 0	Walk-Up Stairs 2617				1	
3116 3356 0	3077 9771 0	Walk-Down Stairs 2616				1	
3078 9771 0	3115 3356 0	Walk-Up Stairs 2617				1	
3076 9770 0	3115 3356 0	Walk-Up Stairs 2617				1	
3076 9769 0	3115 3356 0	Walk-Up Stairs 2617				1	
3076 9768 0	3115 3356 0	Walk-Up Stairs 2617				1	
3079 9770 0	3115 3356 0	Walk-Up Stairs 2617				1	
3079 9769 0	3115 3356 0	Walk-Up Stairs 2617				1	
3079 9768 0	3115 3356 0	Walk-Up Stairs 2617				1	
3123 3360 0	3123 3361 0	Open Door 136				1
3123 3361 0	3123 3360 0	Open Door 136				1
3109 3353 0	3109 3354 0	Open Large door 135				3
3105 3364 2	3106 3363 1	Climb-down Staircase 9584				1	
3106 3363 1	3105 3364 2	Climb-up Staircase 11511				1	
3106 3362 1	3105 3364 2	Climb-up Staircase 11511				1	
3106 3362 2	3106 3361 2	Open Door 22				1	
3106 3361 2	3106 3362 2	Open Door 22				1	
3098 3359 0	3096 3359 0	Search Bookcase 156				3	
3092 3361 0	3117 9753 0	Climb-down Ladder 133				2	
3117 9753 0	3092 3361 0	Climb-up Ladder 132				2	
3098 3358 0	3096 3358 0	Search Bookcase 155				3	
3096 3357 0	3098 3358 0	Pull Lever 160				6	
3108 3353 0	3108 3354 0	Open Large door 134				3	
3097 3360 0	3096 3359 0	Search Bookcase 156				3	
3097 3357 0	3096 3358 0	Search Bookcase 155				3	
3108 3361 0	3108 3366 1	Climb-up Staircase 11498				1	
3108 3366 1	3108 3361 0	Climb-down Staircase 11499				1	
3109 3361 0	3109 3366 1	Climb-up Staircase 11498				1	
3109 3366 1	3109 3361 0	Climb-down Staircase 11499				1	
							
# South Falador Farm							
3045 3305 0	3042 3305 0	Climb-over Stile 7527				6	
3042 3305 0	3045 3305 0	Climb-over Stile 7527				6	
3043 3306 0	3045 3305 0	Climb-over Stile 7527				6	
3044 3306 0	3042 3305 0	Climb-over Stile 7527				6	
3043 3304 0	3045 3305 0	Climb-over Stile 7527				6	
3063 3281 0	3063 3284 0	Climb-over Stile 7527				6	
3064 3283 0	3063 3281 0	Climb-over Stile 7527				6	
3064 3282 0	3063 3284 0	Climb-over Stile 7527				6	
3063 3284 0	3063 3281 0	Climb-over Stile 7527				6	
3062 3282 0	3063 3284 0	Climb-over Stile 7527				6	
3062 3283 0	3063 3281 0	Climb-over Stile 7527				6	
							
# Falador							
3054 3382 0	3065 9951 0	Climb-down Staircase 24249				1	
3065 9951 0	3053 3382 0	Leave Old passageway 31892					
3053 3382 0	3065 9951 0	Climb-down Staircase 24249				1	
3065 9952 0	3053 3382 0	Leave Old passageway 31892					
3014 9952 0	3038 3382 0	Leave Old passageway 31892					
3038 3382 0	3014 9951 0	Climb-down Staircase 24248				1	
3014 9951 0	3038 3382 0	Leave Old passageway 31892					
3037 3382 0	3014 9951 0	Climb-down Staircase 24248				1	
3038 3382 0	3039 3383 1	Climb-up Staircase 24248				1	
3039 3383 1	3037 3382 0	Climb-down Staircase 24252				1	
3037 3382 0	3039 3383 1	Climb-up Staircase 24248				1	
3052 3383 1	3054 3382 0	Climb-down Staircase 24254				1	
3052 3373 1	3053 3374 2	Climb-up Staircase 24251				1	
3053 3374 2	3052 3372 1	Climb-down Staircase 24255				1	
3052 3372 1	3053 3374 2	Climb-up Staircase 24251				1	
3038 3374 2	3039 3372 1	Climb-down Staircase 24253				1	
3039 3372 1	3038 3374 2	Climb-up Staircase 24250				1	
3039 3373 1	3038 3374 2	Climb-up Staircase 24250				1	
3054 3382 0	3052 3383 1	Climb-up Staircase 24249				1	
3053 3382 0	3052 3383 1	Climb-up Staircase 24249				1	
3035 3364 1	3036 3363 0	Climb-down Staircase 24076				1	
3036 3363 0	3035 3364 1	Climb-up Staircase 24075				1	
3036 3362 0	3035 3364 1	Climb-up Staircase 24075				1	
3045 3362 0	3045 3366 1	Climb-up Staircase 24079				1	
3045 3366 1	3045 3362 0	Climb-down Staircase 24080				1	
3046 3362 0	3046 3366 1	Climb-up Staircase 24079				1	
3046 3366 1	3046 3362 0	Climb-down Staircase 24080				1	
3049 3354 1	3050 3353 0	Climb-down Staircase 24076				1	
3050 3353 0	3049 3354 1	Climb-up Staircase 24075				1	
3050 3352 0	3049 3354 1	Climb-up Staircase 24075				1	
3050 3356 1	3050 3354 2	Climb-up Ladder 24082				2	
3050 3354 2	3050 3356 1	Climb-down Ladder 24084				2	
3035 3345 1	3035 3345 0	Climb-down Ladder 24085				2	
3035 3345 0	3035 3345 1	Climb-up Ladder 24082				2	
3027 3354 0	3027 3352 1	Climb-up Ladder 24082				2	
3027 3352 1	3027 3354 0	Climb-down Ladder 24084				2	
3010 3338 0	3011 3337 1	Climb-up Staircase 24072				1	
3010 3339 0	3011 3337 1	Climb-up Staircase 24072				1	
3011 3337 1	3010 3338 0	Climb-down Staircase 24074				1	
3020 3333 0	3024 3333 1	Climb-up Staircase 24077				1	
3024 3333 1	3020 3333 0	Climb-down Staircase 24078				1	
3020 3332 0	3024 3332 1	Climb-up Staircase 24077				1	
3024 3332 1	3020 3332 0	Climb-down Staircase 24078				1	
3017 3344 0	3021 3344 1	Climb-up Staircase 24077				1	
3021 3344 1	3017 3344 0	Climb-down Staircase 24078				1	
3017 3343 0	3021 3343 1	Climb-up Staircase 24077				1	
3021 3343 1	3017 3343 0	Climb-down Staircase 24078				1	
2971 3369 0	2971 3373 1	Climb-up Staircase 24079				1	
2971 3373 1	2971 3369 0	Climb-down Staircase 24080				1	
2972 3369 0	2972 3373 1	Climb-up Staircase 24079				1	
2972 3373 1	2972 3369 0	Climb-down Staircase 24080				1	
2959 3368 0	2959 3372 1	Climb-up Staircase 24079				1	
2959 3372 1	2959 3368 0	Climb-down Staircase 24080				1	
2960 3368 0	2960 3372 1	Climb-up Staircase 24079				1	
2960 3372 1	2960 3368 0	Climb-down Staircase 24080				1	
2946 3379 0	2946 3377 1	Climb-up Ladder 24082				2	
2946 3377 1	2946 3379 0	Climb-down Ladder 24084				2	
2971 3347 0	2968 3348 1	Climb-up Staircase 24067				1	
2968 3348 1	2971 3347 0	Climb-down Staircase 24068				1	
2983 3350 1	2983 3350 0	Climb-down Ladder 24071				2	
2983 3350 0	2983 3350 1	Climb-up Ladder 24070				2	
2983 3353 1	2983 3353 2	Climb-up Ladder 24070				2	
2983 3353 2	2983 3353 1	Climb-down Ladder 24071				2	
2983 3350 2	2983 3350 3	Climb-up Ladder 24070				2	
2983 3350 3	2983 3350 2	Climb-down Ladder 24071				2	
2993 3341 1	2993 3341 0	Climb-down Ladder 24071				2	
2993 3341 0	2993 3341 1	Climb-up Ladder 24070				2	
2995 3341 1	2995 3341 2	Climb-up Ladder 24070				2	
2995 3341 2	2995 3341 1	Climb-down Ladder 24071				2	
2995 3341 2	2995 3341 3	Climb-up Ladder 24070				2	
2995 3341 3	2995 3341 2	Climb-down Ladder 24071				2	
2955 3337 0	2956 3338 1	Climb-up Staircase 24072				1	
2956 3338 1	2955 3337 0	Climb-down Staircase 24074				1	
2959 3339 2	2960 3340 1	Climb-down Staircase 24074				1	
2960 3340 1	2959 3339 2	Climb-up Staircase 24072				1	
2961 3340 1	2959 3339 2	Climb-up Staircase 24072				1	
2959 3338 3	2958 3337 2	Climb-down Staircase 24074				1	
2958 3337 2	2959 3338 3	Climb-up Staircase 24072				1	
2957 3337 2	2959 3338 3	Climb-up Staircase 24072				1	
2984 3340 2	2984 3336 1	Climb-down Staircase 24078				1	
2984 3336 1	2984 3340 2	Climb-up Staircase 24077				1	
2985 3340 2	2985 3336 1	Climb-down Staircase 24078				1	
2985 3336 1	2985 3340 2	Climb-up Staircase 24077				1	
2954 3390 0	2954 3388 1	Climb-up Ladder 24083				2	
2954 3388 1	2954 3390 0	Climb-down Ladder 24084				2	
2955 3390 1	2953 3390 2	Climb-up Ladder 24082				2	
2953 3390 2	2955 3390 1	Climb-down Ladder 24084				2	
2954 3388 2	2954 3390 3	Climb-up Ladder 24082				2	
2954 3390 3	2954 3388 2	Climb-down Ladder 24084				2	
2973 3386 0	2972 3385 1	Climb-up Staircase 24075				1	
2972 3385 1	2973 3386 0	Climb-down Staircase 24076				1	
2974 3386 0	2972 3385 1	Climb-up Staircase 24075				1	
							
# Makeover Mage							
2916 3323 0	2916 3323 1	Climb-up Ladder 9558				2	
2916 3323 1	2916 3323 0	Climb-down Ladder 9559				2	
							
# Dark Wizards' Tower							
2909 3335 0	2908 3336 1	Climb-up Staircase 11888				1	
2908 3336 1	2909 3335 0	Climb-down Staircase 11889				1	
2909 3334 0	2908 3336 1	Climb-up Staircase 11888				1	
2908 3336 1	2908 3336 2	Climb-up Staircase 11889				1	
2908 3336 2	2908 3336 1	Climb-down Staircase 11890				1	
							
# Killerwatt Plane							
3110 3363 2	2677 5214 2	Enter Interdimensional rift 11355			Ernest the Chicken	1	
3111 3363 2	2677 5214 2	Enter Interdimensional rift 11355			Ernest the Chicken	1	
							
# Ferox Enclave							
3140 3637 0	3137 3637 1	Climb Stairs 39643				1	
3137 3637 1	3140 3637 0	Climb Stairs 39650				1	
3140 3636 0	3137 3636 1	Climb Stairs 39643				1	
3137 3636 1	3140 3636 0	Climb Stairs 39650				1	
3143 3637 0	3146 3637 1	Climb Stairs 39643				1	
3146 3637 1	3143 3637 0	Climb Stairs 39650				1	
3143 3636 0	3146 3636 1	Climb Stairs 39643				1	
3146 3636 1	3143 3636 0	Climb Stairs 39650				1	
3142 3634 1	3142 3637 2	Climb Stairs 39643				1	
3142 3637 2	3142 3634 1	Climb Stairs 39650				1	
3141 3634 1	3141 3637 2	Climb Stairs 39643				1	
3141 3637 2	3141 3634 1	Climb Stairs 39650				1	
3126 3639 0	3126 3639 1	Climb-up Ladder 14745				2	
3126 3639 1	3126 3639 0	Climb-down Ladder 14746				2	
3129 3639 1	3129 3639 2	Climb-up Ladder 14745				2	
3129 3639 2	3129 3639 1	Climb-down Ladder 14746				2	
3129 3633 2	3129 3633 1	Climb-down Ladder 14746				2	
3129 3633 1	3129 3633 2	Climb-up Ladder 14745				2	
3126 3633 1	3126 3633 0	Climb-down Ladder 14746				2	
3126 3633 0	3126 3633 1	Climb-up Ladder 14745				2	
3127 3625 2	3127 3625 1	Climb-down Ladder 14746				2	
3127 3625 1	3127 3625 2	Climb-up Ladder 14745				2	
3127 3618 1	3127 3618 2	Climb-up Ladder 14745				2	
3127 3618 2	3127 3618 1	Climb-down Ladder 14746				2	
3131 3622 1	3134 3622 0	Climb Stairs 39650				1	
3134 3622 0	3131 3622 1	Climb Stairs 39643				1	
3131 3621 1	3134 3621 0	Climb Stairs 39650				1	
3134 3621 0	3131 3621 1	Climb Stairs 39643				1	
3135 3622 0	3138 3622 1	Climb Stairs 39643				1	
3138 3622 1	3135 3622 0	Climb Stairs 39650				1	
3135 3621 0	3138 3621 1	Climb Stairs 39643				1	
3138 3621 1	3135 3621 0	Climb Stairs 39650				1	
3142 3618 1	3142 3618 2	Climb-up Ladder 14745				2	
3142 3618 2	3142 3618 1	Climb-down Ladder 14746				2	
3142 3625 1	3142 3625 2	Climb-up Ladder 14745				2	
3142 3625 2	3142 3625 1	Climb-down Ladder 14746				2	
3152 3644 0	3164 10043 0	Walk-down Stairs 39647					
3164 10044 0	3152 3644 0	Exit Opening 39648					
3152 3643 0	3164 10043 0	Walk-down Stairs 39647					
3164 10043 0	3152 3644 0	Exit Opening 39648					
3164 10042 0	3152 3644 0	Exit Opening 39648					
3154 3635 0	3155 3635 0	Pass-Through Barrier 39653				2	
3155 3635 0	3154 3635 0	Pass-Through Barrier 39653				2	
3154 3634 0	3155 3634 0	Pass-Through Barrier 39652				2	
3155 3634 0	3154 3634 0	Pass-Through Barrier 39652				2	
3135 3617 0	3135 3616 0	Pass-Through Barrier 39653				2	
3135 3616 0	3135 3617 0	Pass-Through Barrier 39653				2	
3134 3616 0	3134 3617 0	Pass-Through Barrier 39652				2	
3134 3617 0	3134 3616 0	Pass-Through Barrier 39652				2	
3123 3629 0	3122 3629 0	Pass-Through Barrier 39652				2	
3122 3629 0	3123 3629 0	Pass-Through Barrier 39652				2	
3123 3628 0	3122 3628 0	Pass-Through Barrier 39653				2	
3122 3628 0	3123 3628 0	Pass-Through Barrier 39653				2	
3135 3639 0	3135 3640 0	Pass-Through Barrier 39652				2	
3135 3640 0	3135 3639 0	Pass-Through Barrier 39652				2	
3134 3639 0	3134 3640 0	Pass-Through Barrier 39653				2	
3134 3640 0	3134 3639 0	Pass-Through Barrier 39653				2	
							
# Clan Wars (Free-for-all)							
3371 4810 0	3371 4810 1	Climb-up Ladder 16683				2	
3371 4810 1	3371 4810 0	Climb-down Ladder 16679				2	
3371 4808 1	3371 4808 0	Climb-down Ladder 16679				2	
3371 4808 0	3371 4808 1	Climb-up Ladder 16683				2	
3369 4826 1	3369 4826 0	Climb-down Ladder 16679				2	
3369 4826 0	3369 4826 1	Climb-up Ladder 16683				2	
3367 4826 1	3367 4826 0	Climb-down Ladder 16679				2	
3367 4826 0	3367 4826 1	Climb-up Ladder 16683				2	
							
# Skavid Caves							
2562 3024 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
2523 3070 0	2540 3055 0	Enter Cave entrance 2806		0 Skavid map			
2540 3054 0	2553 3055 0	Enter Cave entrance 2807		0 Skavid map			
2553 3054 0	2552 3034 0	Enter Cave entrance 2808		0 Skavid map			
2552 3034 0	2563 3024 0	Enter Cave entrance 2809		0 Skavid map			
2562 3023 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
2524 3070 0	2540 3055 0	Enter Cave entrance 2806		0 Skavid map			
2541 3054 0	2553 3055 0	Enter Cave entrance 2807		0 Skavid map			
2551 3053 0	2552 3034 0	Enter Cave entrance 2808		0 Skavid map			
2552 3035 0	2563 3024 0	Enter Cave entrance 2809		0 Skavid map			
2561 3021 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
2522 3070 0	2540 3055 0	Enter Cave entrance 2806		0 Skavid map			
2539 3054 0	2553 3055 0	Enter Cave entrance 2807		0 Skavid map			
2552 3054 0	2552 3034 0	Enter Cave entrance 2808		0 Skavid map			
2552 3033 0	2563 3024 0	Enter Cave entrance 2809		0 Skavid map			
2562 3025 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
2542 3054 0	2553 3055 0	Enter Cave entrance 2807		0 Skavid map			
2562 3022 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
2525 3070 0	2540 3055 0	Enter Cave entrance 2806		0 Skavid map			
2561 3026 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
2560 3026 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
2560 3021 0	2523 3070 0	Enter Cave entrance 2805		0 Skavid map			
							
# Skavid Caves Island							
2500 2988 0	2576 3029 0	Enter Cave entrance 2811					
2576 3029 0	2500 2988 0	Climb-down Ladder 2812				2	
2499 2988 0	2576 3029 0	Enter Cave entrance 2811					
2575 3028 0	2500 2988 0	Climb-down Ladder 2812				2	
2501 2989 0	2576 3029 0	Enter Cave entrance 2811					
2575 3030 0	2500 2988 0	Climb-down Ladder 2812				2	
2498 2989 0	2576 3029 0	Enter Cave entrance 2811					
2574 3029 0	2500 2988 0	Climb-down Ladder 2812				2	
							
# Yanille							
2537 3095 0	2537 3099 1	Climb-up Staircase 15646				1	
2537 3099 1	2537 3095 0	Climb-down Staircase 15648				1	
2538 3095 0	2538 3099 1	Climb-up Staircase 15646				1	
2538 3099 1	2537 3095 0	Climb-down Staircase 15648				1	
2538 3088 0	2538 3084 1	Climb-up Staircase 15646				1	
2538 3084 1	2537 3088 0	Climb-down Staircase 15648				1	
2537 3088 0	2537 3084 1	Climb-up Staircase 15646				1	
2537 3084 1	2537 3088 0	Climb-down Staircase 15648				1	
2555 3081 0	2555 3081 1	Climb-up Ladder 16683				2	
2555 3081 1	2555 3081 0	Climb-down Ladder 16679				2	
2556 3082 0	2556 3082 1	Climb-up Ladder 16683				2	
2556 3082 1	2556 3082 0	Climb-down Ladder 16679				2	
2557 3081 0	2557 3081 1	Climb-up Ladder 16683				2	
2557 3081 1	2557 3081 0	Climb-down Ladder 16679				2	
2556 3080 0	2556 3080 1	Climb-up Ladder 16683				2	
2556 3080 1	2556 3080 0	Climb-down Ladder 16679				2	
2606 3079 0	2601 9478 0	Climb-down Staircase 16664				1	
2602 9478 0	2606 3078 0	Climb-up Staircase 16665				1	
2606 3078 0	2601 9478 0	Climb-down Staircase 16664				1	
2602 9479 0	2606 3078 0	Climb-up Staircase 16665				1	
2597 3106 0	2597 3106 1	Climb-up Ladder 16683				2	
2597 3106 1	2597 3106 0	Climb-down Ladder 16681				2	
2598 3107 0	2598 3107 1	Climb-up Ladder 16683				2	
2598 3107 1	2598 3107 0	Climb-down Ladder 16681				2	
